X,Y,date_ech,valeur,qualif,source,type_zone,code_zone,lib_zone,val_no2,val_so2,val_o3,val_pm10,val_pm25,couleur,OBJECTID
4.378770164543433,45.430241460488233,2019-02-16T00:00:00.000Z,4,Bon,ATMO AURA,EPCI,42218,SAINT-ETIENNE,4,0,3,3,0,#C3F001,1061
5.908828321553564,45.583608373563358,2019-02-16T00:00:00.000Z,4,Bon,ATMO AURA,EPCI,73065,CHAMBERY,4,0,2,4,0,#C3F001,1062
6.118078687166492,45.90162885267798,2019-02-16T00:00:00.000Z,4,Bon,ATMO AURA,EPCI,74010,ANNECY,3,0,3,4,0,#C3F001,1063
6.24348079886706,46.191081896603691,2019-02-16T00:00:00.000Z,6,Médiocre,ATMO AURA,EPCI,74012,ANNEMASSE,3,0,2,6,0,#FED201,1064
4.913633947359044,44.922557894514313,2019-02-16T00:00:00.000Z,5,Moyen,ATMO AURA,EPCI,26362,VALENCE,3,0,4,5,0,#FFFF00,1065
3.115402119528298,45.785910860322574,2019-02-16T00:00:00.000Z,3,Bon,ATMO AURA,EPCI,63113,CLERMONT-FERRAND,3,0,3,3,0,#99E600,1066
5.273890123731241,45.60244173974592,2019-02-16T00:00:00.000Z,4,Bon,ATMO AURA,EPCI,38053,BOUGOIN JALLIEU,2,0,4,4,0,#C3F001,1067
4.880867683209186,45.520826183303178,2019-02-16T00:00:00.000Z,5,Moyen,ATMO AURA,EPCI,38544,VIENNE,3,0,4,5,0,#FFFF00,1068
4.079975502436496,46.045170882414801,2019-02-16T00:00:00.000Z,4,Bon,ATMO AURA,EPCI,42187,ROANNE,4,0,3,4,0,#C3F001,1069
6.34583362879275,45.271798066998294,2019-02-16T00:00:00.000Z,3,Bon,ATMO AURA,EPCI,73248,SAINT-JEAN-DE-MAURIENNE,2,1,3,2,0,#99E600,1070
6.924013490641766,45.931263030614758,2019-02-16T00:00:00.000Z,5,Moyen,ATMO AURA,EPCI,74056,CHAMONIX,4,0,2,5,0,#FFFF00,1071
