source,lib_zone,code_zone,type_zone,x,y,longitude,latitude,date_ech,valeur,qualif,libelle,val_no2,val_so2,val_pm10,val_o3,val_pm25,couleur,ObjectId
Atmo Grand Est,Châlons-en-Champagne,51108,commune,800931,6874708,4.37849634314646,48.9643928068108,2019-01-29T00:00:00.000Z,3,Bon,Atmo,2,1,3,3,0,#99E600,29
Atmo Grand Est,Châlons-en-Champagne,51108,commune,800931,6874708,4.37849634314646,48.9643928068108,2019-01-30T00:00:00.000Z,3,Bon,Atmo,2,1,2,3,0,#99E600,30
Atmo Grand Est,Châlons-en-Champagne,51108,commune,800931,6874708,4.37849634314646,48.9643928068108,2019-01-31T00:00:00.000Z,3,Bon,Atmo,2,1,2,3,0,#99E600,31
Atmo Grand Est,Châlons-en-Champagne,51108,commune,800931,6874708,4.37849634314646,48.9643928068108,2019-02-01T00:00:00.000Z,3,Bon,Atmo,3,1,2,3,0,#99E600,32
Atmo Grand Est,Châlons-en-Champagne,51108,commune,800931,6874708,4.37849634314646,48.9643928068108,2019-02-02T00:00:00.000Z,3,Bon,Atmo,2,1,2,3,0,#99E600,33
Atmo Grand Est,Châlons-en-Champagne,51108,commune,800931,6874708,4.37849634314646,48.9643928068108,2019-02-03T00:00:00.000Z,3,Bon,Atmo,2,1,3,3,0,#99E600,34
Atmo Grand Est,Châlons-en-Champagne,51108,commune,800931,6874708,4.37849634314646,48.9643928068108,2019-02-04T00:00:00.000Z,3,Bon,Atmo,2,1,3,2,0,#99E600,35
Atmo Grand Est,Châlons-en-Champagne,51108,commune,800931,6874708,4.37849634314646,48.9643928068108,2019-02-05T00:00:00.000Z,4,Bon,Atmo,3,1,4,3,0,#C3F001,36
Atmo Grand Est,Châlons-en-Champagne,51108,commune,800931,6874708,4.37849634314646,48.9643928068108,2019-02-06T00:00:00.000Z,4,Bon,Atmo,2,1,4,2,0,#C3F001,37
Atmo Grand Est,Châlons-en-Champagne,51108,commune,800931,6874708,4.37849634314646,48.9643928068108,2019-02-07T00:00:00.000Z,3,Bon,Atmo,1,1,2,3,0,#99E600,38
Atmo Grand Est,Châlons-en-Champagne,51108,commune,800931,6874708,4.37849634314646,48.9643928068108,2019-02-08T00:00:00.000Z,3,Bon,Atmo,1,1,2,3,0,#99E600,39
Atmo Grand Est,Châlons-en-Champagne,51108,commune,800931,6874708,4.37849634314646,48.9643928068108,2019-02-09T00:00:00.000Z,3,Bon,Atmo,1,1,2,3,0,#99E600,40
Atmo Grand Est,Châlons-en-Champagne,51108,commune,800931,6874708,4.37849634314646,48.9643928068108,2019-02-10T00:00:00.000Z,4,Bon,Atmo,1,1,1,4,0,#C3F001,41
Atmo Grand Est,Châlons-en-Champagne,51108,commune,800931,6874708,4.37849634314646,48.9643928068108,2019-02-11T00:00:00.000Z,3,Bon,Atmo,3,1,3,3,0,#99E600,42
Atmo Grand Est,Châlons-en-Champagne,51108,commune,800931,6874708,4.37849634314646,48.9643928068108,2019-02-12T00:00:00.000Z,4,Bon,Atmo,2,1,4,1,0,#C3F001,43
Atmo Grand Est,Châlons-en-Champagne,51108,commune,800931,6874708,4.37849634314646,48.9643928068108,2019-02-13T00:00:00.000Z,3,Bon,Atmo,2,1,3,2,0,#99E600,44
Atmo Grand Est,Châlons-en-Champagne,51108,commune,800931,6874708,4.37849634314646,48.9643928068108,2019-02-14T00:00:00.000Z,4,Bon,Atmo,2,1,4,3,0,#C3F001,45
Atmo Grand Est,Châlons-en-Champagne,51108,commune,800931,6874708,4.37849634314646,48.9643928068108,2019-02-15T00:00:00.000Z,5,Moyen,Atmo,3,1,5,3,0,#FFFF00,46
Atmo Grand Est,Châlons-en-Champagne,51108,commune,800931,6874708,4.37849634314646,48.9643928068108,2019-02-16T00:00:00.000Z,6,Médiocre,Atmo,3,1,6,3,0,#FED201,47
Atmo Grand Est,Châlons-en-Champagne,51108,commune,800931,6874708,4.37849634314646,48.9643928068108,2019-02-17T00:00:00.000Z,5,Moyen,Atmo,3,1,5,3,0,#FFFF00,48
Atmo Grand Est,Châlons-en-Champagne,51108,commune,800931,6874708,4.37849634314646,48.9643928068108,2019-02-18T00:00:00.000Z,4,Bon,Atmo,3,1,4,3,0,#C3F001,49
Atmo Grand Est,Châlons-en-Champagne,51108,commune,800931,6874708,4.37849634314646,48.9643928068108,2019-02-19T00:00:00.000Z,4,Bon,Atmo,3,1,4,3,0,#C3F001,50
Atmo Grand Est,Châlons-en-Champagne,51108,commune,800931,6874708,4.37849634314646,48.9643928068108,2019-02-20T00:00:00.000Z,5,Moyen,Atmo,3,1,5,3,0,#FFFF00,51
Atmo Grand Est,Châlons-en-Champagne,51108,commune,800931,6874708,4.37849634314646,48.9643928068108,2019-02-21T00:00:00.000Z,6,Médiocre,Atmo,3,1,6,3,0,#FED201,52
Atmo Grand Est,Châlons-en-Champagne,51108,commune,800931,6874708,4.37849634314646,48.9643928068108,2019-02-22T00:00:00.000Z,5,Moyen,Atmo,2,1,5,3,0,#FFFF00,53
Atmo Grand Est,Châlons-en-Champagne,51108,commune,800931,6874708,4.37849634314646,48.9643928068108,2019-02-23T00:00:00.000Z,3,Bon,Atmo,1,1,3,3,0,#99E600,54
Atmo Grand Est,Châlons-en-Champagne,51108,commune,800931,6874708,4.37849634314646,48.9643928068108,2019-02-24T00:00:00.000Z,3,Bon,Atmo,2,1,3,3,0,#99E600,55
Atmo Grand Est,Châlons-en-Champagne,51108,commune,800931,6874708,4.37849634314646,48.9643928068108,2019-02-25T00:00:00.000Z,4,Bon,Atmo,2,1,4,3,0,#C3F001,56
Atmo Grand Est,Châlons-en-Champagne,51108,commune,800931,6874708,4.37849634314646,48.9643928068108,2019-02-26T00:00:00.000Z,4,Bon,Atmo,2,1,4,3,0,#C3F001,57
Atmo Grand Est,Châlons-en-Champagne,51108,commune,800931,6874708,4.37849634314646,48.9643928068108,2019-02-27T00:00:00.000Z,6,Médiocre,Atmo,3,1,6,3,0,#FED201,58
Atmo Grand Est,Châlons-en-Champagne,51108,commune,800931,6874708,4.37849634314646,48.9643928068108,2019-02-28T00:00:00.000Z,5,Moyen,Atmo,2,1,5,3,0,#FFFF00,59
Atmo Grand Est,Châlons-en-Champagne,51108,commune,800931,6874708,4.37849634314646,48.9643928068108,2019-03-01T00:00:00.000Z,4,Bon,Atmo,2,1,4,3,0,#C3F001,60
