X,Y,OBJECTID,date_ech,valeur,qualif,source,type_zone,code_zone,lib_zone,val_no2,val_so2,val_o3,val_pm10,val_pm25,couleur,x_lamb93,y_lamb93
0.092522961208796,48.430779509616229,37,2018-08-31T00:00:00.000Z,4,Bon,Atmo Normandie,commune,61001,ALENCON,2,0,4,2,0,#56C660,484973,6818459
0.092522961208796,48.430779509616229,38,2018-09-01T00:00:00.000Z,5,Moyen,Atmo Normandie,commune,61001,ALENCON,1,0,5,2,0,#FFB932,484973,6818459
0.092522961208796,48.430779509616229,39,2018-09-02T00:00:00.000Z,5,Moyen,Atmo Normandie,commune,61001,ALENCON,1,0,5,2,0,#FFB932,484973,6818459
0.092522961208796,48.430779509616229,40,2018-09-03T00:00:00.000Z,5,Moyen,Atmo Normandie,commune,61001,ALENCON,2,0,5,3,0,#FFB932,484973,6818459
0.092522961208796,48.430779509616229,41,2018-09-04T00:00:00.000Z,5,Moyen,Atmo Normandie,commune,61001,ALENCON,2,0,5,4,0,#FFB932,484973,6818459
-1.605795879450239,49.635031134786253,42,2019-11-23T00:00:00.000Z,3,Bon,Atmo Normandie,commune,50129,CHERBOURG,2,0,2,3,0,#74D17C,367295,6958137
0.092522961208796,48.430779509616229,43,2019-09-21T00:00:00.000Z,5,Moyen,Atmo Normandie,commune,61001,ALENCON,0,1,5,3,0,#FFB932,484973,6818459
0.092522961208796,48.430779509616229,44,2019-09-22T00:00:00.000Z,3,Bon,Atmo Normandie,commune,61001,ALENCON,0,1,3,2,0,#74D17C,484973,6818459
0.092522961208796,48.430779509616229,45,2019-09-23T00:00:00.000Z,3,Bon,Atmo Normandie,commune,61001,ALENCON,0,1,3,2,0,#74D17C,484973,6818459
0.092522961208796,48.430779509616229,46,2019-09-24T00:00:00.000Z,3,Bon,Atmo Normandie,commune,61001,ALENCON,0,1,3,2,0,#74D17C,484973,6818459
0.092522961208796,48.430779509616229,47,2019-09-25T00:00:00.000Z,3,Bon,Atmo Normandie,commune,61001,ALENCON,0,1,3,2,0,#74D17C,484973,6818459
0.092522961208796,48.430779509616229,48,2019-09-26T00:00:00.000Z,3,Bon,Atmo Normandie,commune,61001,ALENCON,0,1,3,2,0,#74D17C,484973,6818459
0.092522961208796,48.430779509616229,49,2019-09-27T00:00:00.000Z,3,Bon,Atmo Normandie,commune,61001,ALENCON,0,1,3,2,0,#74D17C,484973,6818459
0.092522961208796,48.430779509616229,50,2019-09-28T00:00:00.000Z,4,Bon,Atmo Normandie,commune,61001,ALENCON,0,1,4,2,0,#56C660,484973,6818459
0.092522961208796,48.430779509616229,51,2019-09-29T00:00:00.000Z,3,Bon,Atmo Normandie,commune,61001,ALENCON,0,1,3,2,0,#74D17C,484973,6818459
0.092522961208796,48.430779509616229,52,2019-09-30T00:00:00.000Z,3,Bon,Atmo Normandie,commune,61001,ALENCON,0,1,3,2,0,#74D17C,484973,6818459
0.092522961208796,48.430779509616229,53,2019-10-01T00:00:00.000Z,3,Bon,Atmo Normandie,commune,61001,ALENCON,0,1,3,2,0,#74D17C,484973,6818459
0.092522961208796,48.430779509616229,54,2019-10-02T00:00:00.000Z,3,Bon,Atmo Normandie,commune,61001,ALENCON,0,1,3,2,0,#74D17C,484973,6818459
0.092522961208796,48.430779509616229,55,2019-10-03T00:00:00.000Z,3,Bon,Atmo Normandie,commune,61001,ALENCON,0,1,3,2,0,#74D17C,484973,6818459
0.092522961208796,48.430779509616229,56,2019-10-04T00:00:00.000Z,3,Bon,Atmo Normandie,commune,61001,ALENCON,0,1,3,3,0,#74D17C,484973,6818459
0.092522961208796,48.430779509616229,57,2019-10-05T00:00:00.000Z,3,Bon,Atmo Normandie,commune,61001,ALENCON,0,1,3,2,0,#74D17C,484973,6818459
0.092522961208796,48.430779509616229,58,2019-10-06T00:00:00.000Z,3,Bon,Atmo Normandie,commune,61001,ALENCON,0,1,3,2,0,#74D17C,484973,6818459
-1.605795879450239,49.635031134786253,59,2019-10-07T00:00:00.000Z,3,Bon,Atmo Normandie,commune,50129,CHERBOURG,0,0,3,2,0,#74D17C,367295,6958137
-1.605795879450239,49.635031134786253,60,2019-09-20T00:00:00.000Z,4,Bon,Atmo Normandie,commune,50129,CHERBOURG,0,2,4,4,0,#56C660,367295,6958137
-1.605795879450239,49.635031134786253,61,2019-09-21T00:00:00.000Z,4,Bon,Atmo Normandie,commune,50129,CHERBOURG,0,3,4,4,0,#56C660,367295,6958137
-1.605795879450239,49.635031134786253,62,2019-09-22T00:00:00.000Z,4,Bon,Atmo Normandie,commune,50129,CHERBOURG,0,1,4,2,0,#56C660,367295,6958137
-1.605795879450239,49.635031134786253,63,2019-09-23T00:00:00.000Z,3,Bon,Atmo Normandie,commune,50129,CHERBOURG,0,1,3,2,0,#74D17C,367295,6958137
-1.605795879450239,49.635031134786253,64,2019-09-24T00:00:00.000Z,3,Bon,Atmo Normandie,commune,50129,CHERBOURG,0,1,3,3,0,#74D17C,367295,6958137
-1.605795879450239,49.635031134786253,65,2019-09-25T00:00:00.000Z,3,Bon,Atmo Normandie,commune,50129,CHERBOURG,0,1,3,3,0,#74D17C,367295,6958137
-1.605795879450239,49.635031134786253,66,2019-09-26T00:00:00.000Z,3,Bon,Atmo Normandie,commune,50129,CHERBOURG,0,1,3,3,0,#74D17C,367295,6958137
-1.605795879450239,49.635031134786253,67,2019-09-27T00:00:00.000Z,4,Bon,Atmo Normandie,commune,50129,CHERBOURG,0,1,3,4,0,#56C660,367295,6958137
-1.605795879450239,49.635031134786253,68,2019-09-28T00:00:00.000Z,3,Bon,Atmo Normandie,commune,50129,CHERBOURG,0,1,3,3,0,#74D17C,367295,6958137
-1.605795879450239,49.635031134786253,69,2019-09-29T00:00:00.000Z,3,Bon,Atmo Normandie,commune,50129,CHERBOURG,0,1,3,3,0,#74D17C,367295,6958137
-1.605795879450239,49.635031134786253,70,2019-09-30T00:00:00.000Z,3,Bon,Atmo Normandie,commune,50129,CHERBOURG,0,2,3,2,0,#74D17C,367295,6958137
-1.605795879450239,49.635031134786253,71,2019-10-01T00:00:00.000Z,3,Bon,Atmo Normandie,commune,50129,CHERBOURG,0,1,3,3,0,#74D17C,367295,6958137
-1.605795879450239,49.635031134786253,72,2019-10-02T00:00:00.000Z,3,Bon,Atmo Normandie,commune,50129,CHERBOURG,0,1,3,3,0,#74D17C,367295,6958137
-1.605795879450239,49.635031134786253,73,2019-10-03T00:00:00.000Z,3,Bon,Atmo Normandie,commune,50129,CHERBOURG,0,0,3,2,0,#74D17C,367295,6958137
-1.605795879450239,49.635031134786253,74,2019-10-05T00:00:00.000Z,3,Bon,Atmo Normandie,commune,50129,CHERBOURG,0,0,3,2,0,#74D17C,367295,6958137
-1.605795879450239,49.635031134786253,75,2019-10-06T00:00:00.000Z,3,Bon,Atmo Normandie,commune,50129,CHERBOURG,0,0,3,3,0,#74D17C,367295,6958137
-0.372770653633663,49.18416806100651,76,2019-09-20T00:00:00.000Z,4,Bon,Atmo Normandie,UU,14118,CAEN,0,2,4,3,0,#56C660,454158,6903521
-0.372770653633663,49.18416806100651,77,2019-09-21T00:00:00.000Z,4,Bon,Atmo Normandie,UU,14118,CAEN,0,1,4,4,0,#56C660,454158,6903521
-0.372770653633663,49.18416806100651,78,2019-09-22T00:00:00.000Z,3,Bon,Atmo Normandie,UU,14118,CAEN,0,1,3,2,0,#74D17C,454158,6903521
-0.372770653633663,49.18416806100651,79,2019-09-23T00:00:00.000Z,3,Bon,Atmo Normandie,UU,14118,CAEN,0,1,3,2,0,#74D17C,454158,6903521
-0.372770653633663,49.18416806100651,80,2019-09-24T00:00:00.000Z,3,Bon,Atmo Normandie,UU,14118,CAEN,0,1,3,2,0,#74D17C,454158,6903521
-0.372770653633663,49.18416806100651,81,2019-09-25T00:00:00.000Z,3,Bon,Atmo Normandie,UU,14118,CAEN,0,1,3,2,0,#74D17C,454158,6903521
-0.372770653633663,49.18416806100651,82,2019-09-26T00:00:00.000Z,3,Bon,Atmo Normandie,UU,14118,CAEN,0,1,3,2,0,#74D17C,454158,6903521
-0.372770653633663,49.18416806100651,83,2019-09-27T00:00:00.000Z,3,Bon,Atmo Normandie,UU,14118,CAEN,0,1,3,2,0,#74D17C,454158,6903521
-0.372770653633663,49.18416806100651,84,2019-09-28T00:00:00.000Z,3,Bon,Atmo Normandie,UU,14118,CAEN,0,1,3,2,0,#74D17C,454158,6903521
-0.372770653633663,49.18416806100651,85,2019-09-29T00:00:00.000Z,3,Bon,Atmo Normandie,UU,14118,CAEN,0,1,3,2,0,#74D17C,454158,6903521
0.092522961208796,48.430779509616229,86,2019-10-07T00:00:00.000Z,3,Bon,Atmo Normandie,commune,61001,ALENCON,1,0,3,2,0,#74D17C,484973,6818459
0.092522961208796,48.430779509616229,87,2019-09-17T00:00:00.000Z,4,Bon,Atmo Normandie,commune,61001,ALENCON,1,0,4,2,0,#56C660,484973,6818459
-1.605795879450239,49.635031134786253,88,2019-09-17T00:00:00.000Z,4,Bon,Atmo Normandie,commune,50129,CHERBOURG,2,0,4,3,0,#56C660,367295,6958137
-0.372770653633663,49.18416806100651,89,2019-09-17T00:00:00.000Z,4,Bon,Atmo Normandie,UU,14118,CAEN,1,0,4,2,0,#56C660,454158,6903521
1.148159706742493,49.020727236297532,90,2019-09-17T00:00:00.000Z,3,Bon,Atmo Normandie,commune,27229,EVREUX,1,0,3,3,0,#74D17C,564564,6881680
