X,Y,FID,valeur,source,couleur,type_zone,code_zone,val_no2,val_so2,val_o3,val_pm10,val_pm25,lib_zone,date_ech,qualif
9.19005181165471,42.236058490437244,891607,4,Qualitair Corse,#50CCAA,EPCI,2B096,2,1,3,4,0,ZR CORSE,2018-05-02T12:00:00.000Z,Bon
8.738734428676192,41.936707783964778,891608,3,Qualitair Corse,#50CCAA,EPCI,2A004,3,3,1,3,0,ZAR AJACCIO,2018-05-01T12:00:00.000Z,Bon
9.447420439253605,42.699324960742608,891609,4,Qualitair Corse,#50CCAA,EPCI,2B033,4,2,3,4,0,ZAR BASTIA,2018-05-01T12:00:00.000Z,Bon
9.19005181165471,42.236058490437244,891610,4,Qualitair Corse,#50CCAA,EPCI,2B096,4,3,1,4,0,ZR CORSE,2018-05-01T12:00:00.000Z,Bon
8.738734428676192,41.936707783964778,891611,4,Qualitair Corse,#50CCAA,EPCI,2A004,3,1,2,4,0,ZAR AJACCIO,2018-04-30T12:00:00.000Z,Bon
9.447420439253605,42.699324960742608,891612,4,Qualitair Corse,#50CCAA,EPCI,2B033,1,1,3,4,0,ZAR BASTIA,2018-04-30T12:00:00.000Z,Bon
9.19005181165471,42.236058490437244,891613,5,Qualitair Corse,#F0E641,EPCI,2B096,1,3,5,5,0,ZR CORSE,2018-04-30T12:00:00.000Z,Moyen
8.738734428676192,41.936707783964778,891614,5,Qualitair Corse,#F0E641,EPCI,2A004,1,3,2,5,0,ZAR AJACCIO,2018-04-29T12:00:00.000Z,Moyen
9.447420439253605,42.699324960742608,891615,5,Qualitair Corse,#F0E641,EPCI,2B033,1,5,4,5,0,ZAR BASTIA,2018-04-29T12:00:00.000Z,Moyen
9.19005181165471,42.236058490437244,891616,5,Qualitair Corse,#F0E641,EPCI,2B096,4,5,3,5,0,ZR CORSE,2018-04-29T12:00:00.000Z,Moyen
8.738734428676192,41.936707783964778,891617,4,Qualitair Corse,#50CCAA,EPCI,2A004,1,4,3,4,0,ZAR AJACCIO,2018-04-28T12:00:00.000Z,Bon
9.447420439253605,42.699324960742608,891618,5,Qualitair Corse,#F0E641,EPCI,2B033,5,3,2,5,0,ZAR BASTIA,2018-04-28T12:00:00.000Z,Moyen
9.19005181165471,42.236058490437244,891619,4,Qualitair Corse,#50CCAA,EPCI,2B096,3,2,4,4,0,ZR CORSE,2018-04-28T12:00:00.000Z,Bon
8.738734428676192,41.936707783964778,891620,5,Qualitair Corse,#F0E641,EPCI,2A004,4,2,4,5,0,ZAR AJACCIO,2018-04-27T12:00:00.000Z,Moyen
9.447420439253605,42.699324960742608,891621,5,Qualitair Corse,#F0E641,EPCI,2B033,5,2,3,5,0,ZAR BASTIA,2018-04-27T12:00:00.000Z,Moyen
9.19005181165471,42.236058490437244,891622,4,Qualitair Corse,#50CCAA,EPCI,2B096,1,4,3,4,0,ZR CORSE,2018-04-27T12:00:00.000Z,Bon
8.738734428676192,41.936707783964778,891623,5,Qualitair Corse,#F0E641,EPCI,2A004,3,3,1,5,0,ZAR AJACCIO,2018-04-26T12:00:00.000Z,Moyen
9.447420439253605,42.699324960742608,891624,5,Qualitair Corse,#F0E641,EPCI,2B033,2,4,1,5,0,ZAR BASTIA,2018-04-26T12:00:00.000Z,Moyen
9.19005181165471,42.236058490437244,891625,4,Qualitair Corse,#50CCAA,EPCI,2B096,4,3,1,4,0,ZR CORSE,2018-04-26T12:00:00.000Z,Bon
8.738734428676192,41.936707783964778,891626,5,Qualitair Corse,#F0E641,EPCI,2A004,5,4,2,5,0,ZAR AJACCIO,2018-04-25T12:00:00.000Z,Moyen
9.447420439253605,42.699324960742608,891627,5,Qualitair Corse,#F0E641,EPCI,2B033,5,2,1,5,0,ZAR BASTIA,2018-04-25T12:00:00.000Z,Moyen
9.19005181165471,42.236058490437244,891628,4,Qualitair Corse,#50CCAA,EPCI,2B096,1,3,4,4,0,ZR CORSE,2018-04-25T12:00:00.000Z,Bon
8.738734428676192,41.936707783964778,891629,5,Qualitair Corse,#F0E641,EPCI,2A004,5,4,4,5,0,ZAR AJACCIO,2018-04-24T12:00:00.000Z,Moyen
9.447420439253605,42.699324960742608,891630,5,Qualitair Corse,#F0E641,EPCI,2B033,1,1,2,5,0,ZAR BASTIA,2018-04-24T12:00:00.000Z,Moyen
9.19005181165471,42.236058490437244,891631,5,Qualitair Corse,#F0E641,EPCI,2B096,4,1,4,5,0,ZR CORSE,2018-04-24T12:00:00.000Z,Moyen
8.738734428676192,41.936707783964778,891632,5,Qualitair Corse,#F0E641,EPCI,2A004,4,1,2,5,0,ZAR AJACCIO,2018-04-23T12:00:00.000Z,Moyen
9.447420439253605,42.699324960742608,891633,5,Qualitair Corse,#F0E641,EPCI,2B033,2,1,5,5,0,ZAR BASTIA,2018-04-23T12:00:00.000Z,Moyen
9.19005181165471,42.236058490437244,891634,5,Qualitair Corse,#F0E641,EPCI,2B096,5,5,5,5,0,ZR CORSE,2018-04-23T12:00:00.000Z,Moyen
8.738734428676192,41.936707783964778,891635,6,Qualitair Corse,#FF5050,EPCI,2A004,2,5,3,6,0,ZAR AJACCIO,2018-04-22T12:00:00.000Z,Médiocre
9.447420439253605,42.699324960742608,891636,5,Qualitair Corse,#F0E641,EPCI,2B033,5,5,2,5,0,ZAR BASTIA,2018-04-22T12:00:00.000Z,Moyen
9.19005181165471,42.236058490437244,891637,5,Qualitair Corse,#F0E641,EPCI,2B096,1,4,2,5,0,ZR CORSE,2018-04-22T12:00:00.000Z,Moyen
8.738734428676192,41.936707783964778,891638,6,Qualitair Corse,#FF5050,EPCI,2A004,4,1,5,6,0,ZAR AJACCIO,2018-04-21T12:00:00.000Z,Médiocre
9.447420439253605,42.699324960742608,891639,5,Qualitair Corse,#F0E641,EPCI,2B033,1,2,2,5,0,ZAR BASTIA,2018-04-21T12:00:00.000Z,Moyen
9.19005181165471,42.236058490437244,891640,5,Qualitair Corse,#F0E641,EPCI,2B096,2,1,1,5,0,ZR CORSE,2018-04-21T12:00:00.000Z,Moyen
8.738734428676192,41.936707783964778,891641,5,Qualitair Corse,#F0E641,EPCI,2A004,1,1,2,5,0,ZAR AJACCIO,2018-04-20T12:00:00.000Z,Moyen
9.447420439253605,42.699324960742608,891642,6,Qualitair Corse,#FF5050,EPCI,2B033,5,1,5,6,0,ZAR BASTIA,2018-04-20T12:00:00.000Z,Médiocre
9.19005181165471,42.236058490437244,891643,5,Qualitair Corse,#F0E641,EPCI,2B096,1,3,4,5,0,ZR CORSE,2018-04-20T12:00:00.000Z,Moyen
8.738734428676192,41.936707783964778,891644,5,Qualitair Corse,#F0E641,EPCI,2A004,1,5,3,5,0,ZAR AJACCIO,2018-04-19T12:00:00.000Z,Moyen
9.447420439253605,42.699324960742608,891645,5,Qualitair Corse,#F0E641,EPCI,2B033,3,5,2,5,0,ZAR BASTIA,2018-04-19T12:00:00.000Z,Moyen
9.19005181165471,42.236058490437244,891646,4,Qualitair Corse,#50CCAA,EPCI,2B096,2,3,4,4,0,ZR CORSE,2018-04-19T12:00:00.000Z,Bon
8.738734428676192,41.936707783964778,891647,5,Qualitair Corse,#F0E641,EPCI,2A004,1,1,2,5,0,ZAR AJACCIO,2018-04-18T12:00:00.000Z,Moyen
9.447420439253605,42.699324960742608,891648,5,Qualitair Corse,#F0E641,EPCI,2B033,2,4,5,5,0,ZAR BASTIA,2018-04-18T12:00:00.000Z,Moyen
9.19005181165471,42.236058490437244,891649,5,Qualitair Corse,#F0E641,EPCI,2B096,1,1,2,5,0,ZR CORSE,2018-04-18T12:00:00.000Z,Moyen
8.738734428676192,41.936707783964778,891650,4,Qualitair Corse,#50CCAA,EPCI,2A004,3,1,3,4,0,ZAR AJACCIO,2018-04-17T12:00:00.000Z,Bon
9.447420439253605,42.699324960742608,891651,5,Qualitair Corse,#F0E641,EPCI,2B033,5,2,1,5,0,ZAR BASTIA,2018-04-17T12:00:00.000Z,Moyen
9.19005181165471,42.236058490437244,891652,5,Qualitair Corse,#F0E641,EPCI,2B096,1,2,4,5,0,ZR CORSE,2018-04-17T12:00:00.000Z,Moyen
8.738734428676192,41.936707783964778,891653,4,Qualitair Corse,#50CCAA,EPCI,2A004,2,3,4,4,0,ZAR AJACCIO,2018-04-16T12:00:00.000Z,Bon
9.447420439253605,42.699324960742608,891654,5,Qualitair Corse,#F0E641,EPCI,2B033,5,2,5,5,0,ZAR BASTIA,2018-04-16T12:00:00.000Z,Moyen
9.19005181165471,42.236058490437244,891655,5,Qualitair Corse,#F0E641,EPCI,2B096,4,2,5,5,0,ZR CORSE,2018-04-16T12:00:00.000Z,Moyen
8.738734428676192,41.936707783964778,891656,5,Qualitair Corse,#F0E641,EPCI,2A004,1,5,3,5,0,ZAR AJACCIO,2018-04-15T12:00:00.000Z,Moyen
9.447420439253605,42.699324960742608,891657,5,Qualitair Corse,#F0E641,EPCI,2B033,3,1,2,5,0,ZAR BASTIA,2018-04-15T12:00:00.000Z,Moyen
9.19005181165471,42.236058490437244,891658,5,Qualitair Corse,#F0E641,EPCI,2B096,3,1,4,5,0,ZR CORSE,2018-04-15T12:00:00.000Z,Moyen
8.738734428676192,41.936707783964778,891659,9,Qualitair Corse,#960032,EPCI,2A004,1,2,6,9,0,ZAR AJACCIO,2018-04-14T12:00:00.000Z,Mauvais
9.447420439253605,42.699324960742608,891660,5,Qualitair Corse,#F0E641,EPCI,2B033,4,5,4,5,0,ZAR BASTIA,2018-04-14T12:00:00.000Z,Moyen
9.19005181165471,42.236058490437244,891661,9,Qualitair Corse,#960032,EPCI,2B096,7,1,6,9,0,ZR CORSE,2018-04-14T12:00:00.000Z,Mauvais
8.738734428676192,41.936707783964778,891662,4,Qualitair Corse,#50CCAA,EPCI,2A004,1,4,4,4,0,ZAR AJACCIO,2018-04-13T12:00:00.000Z,Bon
9.447420439253605,42.699324960742608,891663,4,Qualitair Corse,#50CCAA,EPCI,2B033,4,3,1,4,0,ZAR BASTIA,2018-04-13T12:00:00.000Z,Bon
9.19005181165471,42.236058490437244,891664,4,Qualitair Corse,#50CCAA,EPCI,2B096,4,2,4,4,0,ZR CORSE,2018-04-13T12:00:00.000Z,Bon
8.738734428676192,41.936707783964778,891665,4,Qualitair Corse,#50CCAA,EPCI,2A004,3,1,1,4,0,ZAR AJACCIO,2018-04-12T12:00:00.000Z,Bon
9.447420439253605,42.699324960742608,891666,5,Qualitair Corse,#F0E641,EPCI,2B033,2,4,1,5,0,ZAR BASTIA,2018-04-12T12:00:00.000Z,Moyen
9.19005181165471,42.236058490437244,891667,5,Qualitair Corse,#F0E641,EPCI,2B096,5,1,1,5,0,ZR CORSE,2018-04-12T12:00:00.000Z,Moyen
8.738734428676192,41.936707783964778,891668,4,Qualitair Corse,#50CCAA,EPCI,2A004,4,1,3,4,0,ZAR AJACCIO,2018-04-11T12:00:00.000Z,Bon
9.447420439253605,42.699324960742608,891669,4,Qualitair Corse,#50CCAA,EPCI,2B033,1,3,4,4,0,ZAR BASTIA,2018-04-11T12:00:00.000Z,Bon
9.19005181165471,42.236058490437244,891670,5,Qualitair Corse,#F0E641,EPCI,2B096,4,1,2,5,0,ZR CORSE,2018-04-11T12:00:00.000Z,Moyen
8.738734428676192,41.936707783964778,891671,4,Qualitair Corse,#50CCAA,EPCI,2A004,1,1,4,4,0,ZAR AJACCIO,2018-04-10T12:00:00.000Z,Bon
9.447420439253605,42.699324960742608,891672,4,Qualitair Corse,#50CCAA,EPCI,2B033,1,1,4,4,0,ZAR BASTIA,2018-04-10T12:00:00.000Z,Bon
9.19005181165471,42.236058490437244,891673,5,Qualitair Corse,#F0E641,EPCI,2B096,5,5,3,5,0,ZR CORSE,2018-04-10T12:00:00.000Z,Moyen
8.738734428676192,41.936707783964778,891674,4,Qualitair Corse,#50CCAA,EPCI,2A004,2,2,3,4,0,ZAR AJACCIO,2018-04-09T12:00:00.000Z,Bon
9.447420439253605,42.699324960742608,891675,4,Qualitair Corse,#50CCAA,EPCI,2B033,3,3,2,4,0,ZAR BASTIA,2018-04-09T12:00:00.000Z,Bon
9.19005181165471,42.236058490437244,891676,4,Qualitair Corse,#50CCAA,EPCI,2B096,2,1,3,4,0,ZR CORSE,2018-04-09T12:00:00.000Z,Bon
8.738734428676192,41.936707783964778,891677,4,Qualitair Corse,#50CCAA,EPCI,2A004,4,1,2,4,0,ZAR AJACCIO,2018-04-08T12:00:00.000Z,Bon
9.447420439253605,42.699324960742608,891678,5,Qualitair Corse,#F0E641,EPCI,2B033,3,2,4,5,0,ZAR BASTIA,2018-04-08T12:00:00.000Z,Moyen
9.19005181165471,42.236058490437244,891679,5,Qualitair Corse,#F0E641,EPCI,2B096,5,1,1,5,0,ZR CORSE,2018-04-08T12:00:00.000Z,Moyen
8.738734428676192,41.936707783964778,891680,4,Qualitair Corse,#50CCAA,EPCI,2A004,2,3,3,4,0,ZAR AJACCIO,2018-04-07T12:00:00.000Z,Bon
9.447420439253605,42.699324960742608,891681,5,Qualitair Corse,#F0E641,EPCI,2B033,3,3,5,5,0,ZAR BASTIA,2018-04-07T12:00:00.000Z,Moyen
9.19005181165471,42.236058490437244,891682,5,Qualitair Corse,#F0E641,EPCI,2B096,2,1,5,5,0,ZR CORSE,2018-04-07T12:00:00.000Z,Moyen
8.738734428676192,41.936707783964778,891683,4,Qualitair Corse,#50CCAA,EPCI,2A004,1,3,2,4,0,ZAR AJACCIO,2018-04-06T12:00:00.000Z,Bon
9.447420439253605,42.699324960742608,891684,4,Qualitair Corse,#50CCAA,EPCI,2B033,2,3,2,4,0,ZAR BASTIA,2018-04-06T12:00:00.000Z,Bon
9.19005181165471,42.236058490437244,891685,4,Qualitair Corse,#50CCAA,EPCI,2B096,3,3,3,4,0,ZR CORSE,2018-04-06T12:00:00.000Z,Bon
8.738734428676192,41.936707783964778,891686,5,Qualitair Corse,#F0E641,EPCI,2A004,2,4,1,5,0,ZAR AJACCIO,2018-04-05T12:00:00.000Z,Moyen
9.447420439253605,42.699324960742608,891687,4,Qualitair Corse,#50CCAA,EPCI,2B033,4,1,2,4,0,ZAR BASTIA,2018-04-05T12:00:00.000Z,Bon
9.19005181165471,42.236058490437244,891688,4,Qualitair Corse,#50CCAA,EPCI,2B096,4,4,2,4,0,ZR CORSE,2018-04-05T12:00:00.000Z,Bon
8.738734428676192,41.936707783964778,891689,7,Qualitair Corse,#FF5050,EPCI,2A004,1,7,3,7,0,ZAR AJACCIO,2018-04-04T12:00:00.000Z,Médiocre
9.447420439253605,42.699324960742608,891690,4,Qualitair Corse,#50CCAA,EPCI,2B033,1,4,1,4,0,ZAR BASTIA,2018-04-04T12:00:00.000Z,Bon
9.19005181165471,42.236058490437244,891691,4,Qualitair Corse,#50CCAA,EPCI,2B096,3,3,2,4,0,ZR CORSE,2018-04-04T12:00:00.000Z,Bon
8.738734428676192,41.936707783964778,891692,5,Qualitair Corse,#F0E641,EPCI,2A004,5,2,3,5,0,ZAR AJACCIO,2018-04-03T12:00:00.000Z,Moyen
9.447420439253605,42.699324960742608,891693,5,Qualitair Corse,#F0E641,EPCI,2B033,3,1,5,5,0,ZAR BASTIA,2018-04-03T12:00:00.000Z,Moyen
9.19005181165471,42.236058490437244,891694,4,Qualitair Corse,#50CCAA,EPCI,2B096,1,3,4,4,0,ZR CORSE,2018-04-03T12:00:00.000Z,Bon
8.738734428676192,41.936707783964778,891695,4,Qualitair Corse,#50CCAA,EPCI,2A004,3,4,2,4,0,ZAR AJACCIO,2018-04-02T12:00:00.000Z,Bon
9.447420439253605,42.699324960742608,891696,4,Qualitair Corse,#50CCAA,EPCI,2B033,2,1,1,4,0,ZAR BASTIA,2018-04-02T12:00:00.000Z,Bon
9.19005181165471,42.236058490437244,891697,5,Qualitair Corse,#F0E641,EPCI,2B096,3,2,2,5,0,ZR CORSE,2018-04-02T12:00:00.000Z,Moyen
8.738734428676192,41.936707783964778,891698,5,Qualitair Corse,#F0E641,EPCI,2A004,4,5,2,5,0,ZAR AJACCIO,2018-04-01T12:00:00.000Z,Moyen
9.447420439253605,42.699324960742608,891699,4,Qualitair Corse,#50CCAA,EPCI,2B033,3,3,3,4,0,ZAR BASTIA,2018-04-01T12:00:00.000Z,Bon
9.19005181165471,42.236058490437244,891700,4,Qualitair Corse,#50CCAA,EPCI,2B096,2,3,2,4,0,ZR CORSE,2018-04-01T12:00:00.000Z,Bon
8.738734428676192,41.936707783964778,891701,4,Qualitair Corse,#50CCAA,EPCI,2A004,4,4,4,4,0,ZAR AJACCIO,2018-03-31T12:00:00.000Z,Bon
9.447420439253605,42.699324960742608,891702,4,Qualitair Corse,#50CCAA,EPCI,2B033,3,1,2,4,0,ZAR BASTIA,2018-03-31T12:00:00.000Z,Bon
9.19005181165471,42.236058490437244,891703,4,Qualitair Corse,#50CCAA,EPCI,2B096,4,4,2,4,0,ZR CORSE,2018-03-31T12:00:00.000Z,Bon
8.738734428676192,41.936707783964778,891704,5,Qualitair Corse,#F0E641,EPCI,2A004,4,5,5,5,0,ZAR AJACCIO,2018-03-30T12:00:00.000Z,Moyen
9.447420439253605,42.699324960742608,891705,4,Qualitair Corse,#50CCAA,EPCI,2B033,1,3,4,4,0,ZAR BASTIA,2018-03-30T12:00:00.000Z,Bon
9.19005181165471,42.236058490437244,891706,4,Qualitair Corse,#50CCAA,EPCI,2B096,3,1,3,4,0,ZR CORSE,2018-03-30T12:00:00.000Z,Bon
8.738734428676192,41.936707783964778,891707,4,Qualitair Corse,#50CCAA,EPCI,2A004,4,4,3,4,0,ZAR AJACCIO,2018-03-29T12:00:00.000Z,Bon
