X,Y,FID,valeur,source,type_zone,code_zone,lib_zone,val_no2,val_so2,val_o3,val_pm10,val_pm25,couleur,x_lamb93,y_lamb93,date_ech,qualif
2.346830713456568,48.86182838996853,32,4,Airparif,UU,00851,Unité urbaine de Paris,3,1,1,4,0,#84BF75,652080,6862620,2019-12-02T23:00:00.000Z,Bon
2.346830713456568,48.86182838996853,33,5,Airparif,UU,00851,Unité urbaine de Paris,3,1,2,5,0,#F29400,652080,6862620,2019-12-01T23:00:00.000Z,Moyen
2.346830713456568,48.86182838996853,34,3,Airparif,UU,00851,Unité urbaine de Paris,2,1,2,3,0,#84BF75,652080,6862620,2019-11-30T23:00:00.000Z,Bon
2.346830713456568,48.86182838996853,35,3,Airparif,UU,00851,Unité urbaine de Paris,2,1,3,3,0,#84BF75,652080,6862620,2019-11-29T23:00:00.000Z,Bon
2.346830713456568,48.86182838996853,36,3,Airparif,UU,00851,Unité urbaine de Paris,3,1,2,3,0,#84BF75,652080,6862620,2019-11-28T23:00:00.000Z,Bon
2.346830713456568,48.86182838996853,37,3,Airparif,UU,00851,Unité urbaine de Paris,2,1,3,2,0,#84BF75,652080,6862620,2019-11-27T23:00:00.000Z,Bon
2.346830713456568,48.86182838996853,38,3,Airparif,UU,00851,Unité urbaine de Paris,1,1,3,2,0,#84BF75,652080,6862620,2019-11-26T23:00:00.000Z,Bon
2.346830713456568,48.86182838996853,39,2,Airparif,UU,00851,Unité urbaine de Paris,2,1,2,2,0,#84BF75,652080,6862620,2019-11-25T23:00:00.000Z,Très bon
2.346830713456568,48.86182838996853,40,2,Airparif,UU,00851,Unité urbaine de Paris,2,1,2,2,0,#84BF75,652080,6862620,2019-11-24T23:00:00.000Z,Très bon
2.346830713456568,48.86182838996853,41,3,Airparif,UU,00851,Unité urbaine de Paris,3,1,3,3,0,#84BF75,652080,6862620,2019-11-23T23:00:00.000Z,Bon
2.346830713456568,48.86182838996853,42,3,Airparif,UU,00851,Unité urbaine de Paris,2,1,2,3,0,#84BF75,652080,6862620,2019-11-22T23:00:00.000Z,Bon
2.346830713456568,48.86182838996853,43,3,Airparif,UU,00851,Unité urbaine de Paris,2,1,3,2,0,#84BF75,652080,6862620,2019-11-21T23:00:00.000Z,Bon
2.346830713456568,48.86182838996853,44,4,Airparif,UU,00851,Unité urbaine de Paris,2,1,2,4,0,#84BF75,652080,6862620,2019-11-20T23:00:00.000Z,Bon
2.346830713456568,48.86182838996853,45,4,Airparif,UU,00851,Unité urbaine de Paris,3,1,2,4,0,#84BF75,652080,6862620,2019-11-19T23:00:00.000Z,Bon
2.346830713456568,48.86182838996853,46,4,Airparif,UU,00851,Unité urbaine de Paris,3,1,2,4,0,#84BF75,652080,6862620,2019-11-18T23:00:00.000Z,Bon
2.346830713456568,48.86182838996853,47,3,Airparif,UU,00851,Unité urbaine de Paris,2,1,1,3,0,#84BF75,652080,6862620,2019-11-17T23:00:00.000Z,Bon
2.346830713456568,48.86182838996853,48,3,Airparif,UU,00851,Unité urbaine de Paris,2,1,2,3,0,#84BF75,652080,6862620,2019-11-16T23:00:00.000Z,Bon
