X,Y,date_ech,valeur,qualif,source,type_zone,code_zone,lib_zone,val_no2,val_so2,val_o3,val_pm10,couleur,xwgs84,ywgs84,x_reg,y_reg,ESRI_OID
-61.035270057347709,14.63336713046618,2020-02-28T16:00:00.000Z,2,Très bon,Madininair,UU,9B601,Fort-de-France,1,0,2,2,#40bf40,,,711615.160990152,1618692.29507862,29
-61.035270057347709,14.63336713046618,2020-02-27T16:00:00.000Z,2,Très bon,Madininair,UU,9B601,Fort-de-France,1,0,2,2,#40bf40,,,711615.160990152,1618692.29507862,30
-61.035270057347709,14.63336713046618,2020-02-26T16:00:00.000Z,4,Bon,Madininair,UU,9B601,Fort-de-France,1,0,2,4,#99ff33,,,711615.160990152,1618692.29507862,31
-61.035270057347709,14.63336713046618,2020-02-25T16:00:00.000Z,4,Bon,Madininair,UU,9B601,Fort-de-France,1,0,2,4,#99ff33,,,711615.160990152,1618692.29507862,32
-61.035270057347709,14.63336713046618,2020-02-24T16:00:00.000Z,5,Moyen,Madininair,UU,9B601,Fort-de-France,1,0,2,5,#ffff00,,,711615.160990152,1618692.29507862,33
-61.035270057347709,14.63336713046618,2020-02-23T16:00:00.000Z,5,Moyen,Madininair,UU,9B601,Fort-de-France,1,0,2,5,#ffff00,,,711615.160990152,1618692.29507862,34
-61.035270057347709,14.63336713046618,2020-02-22T16:00:00.000Z,3,Bon,Madininair,UU,9B601,Fort-de-France,1,0,2,3,#33cc33,,,711615.160990152,1618692.29507862,35
-61.035270057347709,14.63336713046618,2020-02-21T16:00:00.000Z,5,Moyen,Madininair,UU,9B601,Fort-de-France,1,0,2,5,#ffff00,,,711615.160990152,1618692.29507862,36
-61.035270057347709,14.63336713046618,2020-02-20T16:00:00.000Z,8,Mauvais,Madininair,UU,9B601,Fort-de-France,1,0,2,8,#ff0000,,,711615.160990152,1618692.29507862,37
-61.035270057347709,14.63336713046618,2020-02-19T16:00:00.000Z,9,Mauvais,Madininair,UU,9B601,Fort-de-France,1,0,2,9,#e60000,,,711615.160990152,1618692.29507862,38
-61.035270057347709,14.63336713046618,2020-02-18T16:00:00.000Z,6,Médiocre,Madininair,UU,9B601,Fort-de-France,1,0,2,6,#ffcc00,,,711615.160990152,1618692.29507862,39
-61.035270057347709,14.63336713046618,2020-02-17T16:00:00.000Z,3,Bon,Madininair,UU,9B601,Fort-de-France,1,0,2,3,#33cc33,,,711615.160990152,1618692.29507862,40
-61.035270057347709,14.63336713046618,2020-02-16T16:00:00.000Z,3,Bon,Madininair,UU,9B601,Fort-de-France,1,0,2,3,#33cc33,,,711615.160990152,1618692.29507862,41
-61.035270057347709,14.63336713046618,2020-02-15T16:00:00.000Z,3,Bon,Madininair,UU,9B601,Fort-de-France,1,0,2,3,#33cc33,,,711615.160990152,1618692.29507862,42
-61.035270057347709,14.63336713046618,2020-02-14T16:00:00.000Z,3,Bon,Madininair,UU,9B601,Fort-de-France,1,0,2,3,#33cc33,,,711615.160990152,1618692.29507862,43
-61.035270057347709,14.63336713046618,2020-02-13T16:00:00.000Z,3,Bon,Madininair,UU,9B601,Fort-de-France,1,0,2,3,#33cc33,,,711615.160990152,1618692.29507862,44
-61.035270057347709,14.63336713046618,2020-02-12T16:00:00.000Z,4,Bon,Madininair,UU,9B601,Fort-de-France,1,0,3,4,#99ff33,,,711615.160990152,1618692.29507862,45
-61.035270057347709,14.63336713046618,2020-02-11T16:00:00.000Z,7,Médiocre,Madininair,UU,9B601,Fort-de-France,1,0,3,7,#ffa31a,,,711615.160990152,1618692.29507862,46
-61.035270057347709,14.63336713046618,2020-02-10T16:00:00.000Z,8,Mauvais,Madininair,UU,9B601,Fort-de-France,1,0,3,8,#ff0000,,,711615.160990152,1618692.29507862,47
-61.035270057347709,14.63336713046618,2020-02-09T16:00:00.000Z,4,Bon,Madininair,UU,9B601,Fort-de-France,1,0,3,4,#99ff33,,,711615.160990152,1618692.29507862,48
-61.035270057347709,14.63336713046618,2020-02-08T16:00:00.000Z,3,Bon,Madininair,UU,9B601,Fort-de-France,1,0,3,3,#33cc33,,,711615.160990152,1618692.29507862,49
